"Município";"PRODUTOR.DA.CULTURA.DE.DENDE";"PRODUTOR.DA.CULTURA.DE.GIRASSOL";"PRODUTOR.DA.CULTURA.DE.MAMONA";"PRODUTOR.DA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DE.DENDE";"TRABALHADOR.NA.CULTURA.DE.MAMONA";"TRABALHADOR.NA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DO.GIRASSOL";"Total";"Estado";"Mun";"chave";"ano"
"RO-ALTA FLORESTA D OESTE";0;0;0;0;0;0;0;0;0;"RO";"ALTA FLORESTA D OESTE";"ALTA FLORESTA D OESTE (RO)";2011
"RO-ARIQUEMES";0;0;0;0;0;0;0;0;0;"RO";"ARIQUEMES";"ARIQUEMES (RO)";2011
"RO-CABIXI";0;0;0;0;0;0;0;0;0;"RO";"CABIXI";"CABIXI (RO)";2011
"RO-CACOAL";0;0;0;0;0;0;0;0;0;"RO";"CACOAL";"CACOAL (RO)";2011
"RO-CEREJEIRAS";0;0;0;0;0;0;3266.6400000006;0;3266.6400000006;"RO";"CEREJEIRAS";"CEREJEIRAS (RO)";2011
"RO-COLORADO DO OESTE";0;0;0;0;0;0;0;0;0;"RO";"COLORADO DO OESTE";"COLORADO DO OESTE (RO)";2011
"RO-CORUMBIARA";0;0;0;0;0;0;0;0;0;"RO";"CORUMBIARA";"CORUMBIARA (RO)";2011
"RO-COSTA MARQUES";0;0;0;0;0;0;0;0;0;"RO";"COSTA MARQUES";"COSTA MARQUES (RO)";2011
"RO-ESPIGAO D OESTE";0;0;0;0;0;0;0;0;0;"RO";"ESPIGAO D OESTE";"ESPIGAO D OESTE (RO)";2011
"RO-GUAJARA-MIRIM";0;0;0;0;0;0;0;0;0;"RO";"GUAJARA-MIRIM";"GUAJARA-MIRIM (RO)";2011
"RO-JARU";0;0;0;0;0;0;0;0;0;"RO";"JARU";"JARU (RO)";2011
"RO-JI-PARANA";0;0;0;0;0;0;0;0;0;"RO";"JI-PARANA";"JI-PARANA (RO)";2011
"RO-MACHADINHO D OESTE";0;0;0;0;0;0;0;0;0;"RO";"MACHADINHO D OESTE";"MACHADINHO D OESTE (RO)";2011
"RO-NOVA BRASILANDIA D OESTE";0;0;0;0;0;0;0;0;0;"RO";"NOVA BRASILANDIA D OESTE";"NOVA BRASILANDIA D OESTE (RO)";2011
"RO-OURO PRETO DO OESTE";0;0;0;0;0;0;0;0;0;"RO";"OURO PRETO DO OESTE";"OURO PRETO DO OESTE (RO)";2011
"RO-PIMENTA BUENO";0;0;0;0;0;0;0;0;0;"RO";"PIMENTA BUENO";"PIMENTA BUENO (RO)";2011
"RO-PORTO VELHO";0;0;0;0;0;0;0;0;0;"RO";"PORTO VELHO";"PORTO VELHO (RO)";2011
"RO-PRESIDENTE MEDICI";0;0;0;0;0;0;0;0;0;"RO";"PRESIDENTE MEDICI";"PRESIDENTE MEDICI (RO)";2011
"RO-RIO CRESPO";0;0;0;0;0;0;0;0;0;"RO";"RIO CRESPO";"RIO CRESPO (RO)";2011
"RO-ROLIM DE MOURA";0;0;0;0;0;0;0;0;0;"RO";"ROLIM DE MOURA";"ROLIM DE MOURA (RO)";2011
"RO-SANTA LUZIA D OESTE";0;0;0;0;0;0;0;0;0;"RO";"SANTA LUZIA D OESTE";"SANTA LUZIA D OESTE (RO)";2011
"RO-VILHENA";0;0;0;0;0;0;547.339999999851;0;547.339999999851;"RO";"VILHENA";"VILHENA (RO)";2011
"RO-SAO MIGUEL DO GUAPORE";0;0;0;0;0;0;0;0;0;"RO";"SAO MIGUEL DO GUAPORE";"SAO MIGUEL DO GUAPORE (RO)";2011
"RO-NOVA MAMORE";0;0;0;0;0;0;0;0;0;"RO";"NOVA MAMORE";"NOVA MAMORE (RO)";2011
"RO-ALVORADA D OESTE";0;0;0;0;0;0;0;0;0;"RO";"ALVORADA D OESTE";"ALVORADA D OESTE (RO)";2011
"RO-ALTO ALEGRE DOS PARECIS";0;0;0;0;0;0;0;0;0;"RO";"ALTO ALEGRE DOS PARECIS";"ALTO ALEGRE DOS PARECIS (RO)";2011
"RO-ALTO PARAISO";0;0;0;0;0;0;0;0;0;"RO";"ALTO PARAISO";"ALTO PARAISO (RO)";2011
"RO-BURITIS";0;0;0;0;0;0;0;0;0;"RO";"BURITIS";"BURITIS (RO)";2011
"RO-NOVO HORIZONTE DO OESTE";0;0;0;0;0;0;0;0;0;"RO";"NOVO HORIZONTE DO OESTE";"NOVO HORIZONTE DO OESTE (RO)";2011
"RO-CACAULANDIA";0;0;0;0;0;0;0;0;0;"RO";"CACAULANDIA";"CACAULANDIA (RO)";2011
"RO-CAMPO NOVO DE RONDONIA";0;0;0;0;0;0;0;0;0;"RO";"CAMPO NOVO DE RONDONIA";"CAMPO NOVO DE RONDONIA (RO)";2011
"RO-CANDEIAS DO JAMARI";0;0;0;0;0;0;0;0;0;"RO";"CANDEIAS DO JAMARI";"CANDEIAS DO JAMARI (RO)";2011
"RO-CASTANHEIRAS";0;0;0;0;0;0;0;0;0;"RO";"CASTANHEIRAS";"CASTANHEIRAS (RO)";2011
"RO-CHUPINGUAIA";0;0;0;0;0;0;0;0;0;"RO";"CHUPINGUAIA";"CHUPINGUAIA (RO)";2011
"RO-CUJUBIM";0;0;0;0;0;0;0;0;0;"RO";"CUJUBIM";"CUJUBIM (RO)";2011
"RO-GOVERNADOR JORGE TEIXEIRA";0;0;0;0;0;0;0;0;0;"RO";"GOVERNADOR JORGE TEIXEIRA";"GOVERNADOR JORGE TEIXEIRA (RO)";2011
"RO-ITAPUA DO OESTE";0;0;0;0;0;0;0;0;0;"RO";"ITAPUA DO OESTE";"ITAPUA DO OESTE (RO)";2011
"RO-MINISTRO ANDREAZZA";0;0;0;0;0;0;0;0;0;"RO";"MINISTRO ANDREAZZA";"MINISTRO ANDREAZZA (RO)";2011
"RO-MIRANTE DA SERRA";0;0;0;0;0;0;0;0;0;"RO";"MIRANTE DA SERRA";"MIRANTE DA SERRA (RO)";2011
"RO-MONTE NEGRO";0;0;0;0;0;0;0;0;0;"RO";"MONTE NEGRO";"MONTE NEGRO (RO)";2011
"RO-NOVA UNIAO";0;0;0;0;0;0;0;0;0;"RO";"NOVA UNIAO";"NOVA UNIAO (RO)";2011
"RO-PARECIS";0;0;0;0;0;0;0;0;0;"RO";"PARECIS";"PARECIS (RO)";2011
"RO-PIMENTEIRAS DO OESTE";0;0;0;0;0;0;0;0;0;"RO";"PIMENTEIRAS DO OESTE";"PIMENTEIRAS DO OESTE (RO)";2011
"RO-PRIMAVERA DE RONDONIA";0;0;0;0;0;0;0;0;0;"RO";"PRIMAVERA DE RONDONIA";"PRIMAVERA DE RONDONIA (RO)";2011
"RO-SAO FELIPE D OESTE";0;0;0;0;0;0;0;0;0;"RO";"SAO FELIPE D OESTE";"SAO FELIPE D OESTE (RO)";2011
"RO-SAO FRANCISCO DO GUAPORE";0;0;0;0;0;0;0;0;0;"RO";"SAO FRANCISCO DO GUAPORE";"SAO FRANCISCO DO GUAPORE (RO)";2011
"RO-SERINGUEIRAS";0;0;0;0;0;0;0;0;0;"RO";"SERINGUEIRAS";"SERINGUEIRAS (RO)";2011
